case_id,true_state,predicted_state,action,normal_prob,expected_pattern_prob,legitimate_growth_prob,cost_incident_prob
1,normal,normal,WAIT,0.4,0.125,0.25,0.22500000000000003
2,normal,expected_pattern,WAIT,0.30000000000000004,0.32499999999999996,0.2,0.175
3,normal,normal,WAIT,0.4,0.125,0.25,0.22500000000000003
4,normal,normal,WAIT,0.4,0.125,0.25,0.22500000000000003
5,normal,expected_pattern,WAIT,0.30000000000000004,0.32499999999999996,0.2,0.175
6,normal,normal,GET_MORE_EVIDENCE,0.35000000000000003,0.1,0.225,0.32500000000000007
7,normal,normal,WAIT,0.4,0.125,0.25,0.22500000000000003
8,normal,normal,WAIT,0.4,0.125,0.25,0.22500000000000003
9,normal,expected_pattern,WAIT,0.30000000000000004,0.32499999999999996,0.2,0.175
10,normal,normal,GET_MORE_EVIDENCE,0.35000000000000003,0.1,0.225,0.32500000000000007
11,expected_pattern,cost_incident,GET_MORE_EVIDENCE,0.15000000000000002,0.32499999999999996,0.2,0.325
12,expected_pattern,expected_pattern,WAIT,0.2,0.35,0.225,0.225
13,expected_pattern,cost_incident,GET_MORE_EVIDENCE,0.15000000000000002,0.32499999999999996,0.2,0.325
14,expected_pattern,cost_incident,GET_MORE_EVIDENCE,0.10000000000000002,0.29999999999999993,0.17500000000000002,0.42500000000000004
15,expected_pattern,cost_incident,GET_MORE_EVIDENCE,0.15000000000000002,0.32499999999999996,0.2,0.325
16,expected_pattern,cost_incident,GET_MORE_EVIDENCE,0.15000000000000002,0.32499999999999996,0.2,0.325
17,expected_pattern,cost_incident,GET_MORE_EVIDENCE,0.15000000000000002,0.32499999999999996,0.2,0.325
18,expected_pattern,cost_incident,GET_MORE_EVIDENCE,0.15000000000000002,0.32499999999999996,0.2,0.325
19,expected_pattern,cost_incident,GET_MORE_EVIDENCE,0.15000000000000002,0.32499999999999996,0.2,0.325
20,expected_pattern,cost_incident,GET_MORE_EVIDENCE,0.15000000000000002,0.32499999999999996,0.2,0.325
21,legitimate_growth,legitimate_growth,WAIT,0.25,0.125,0.375,0.25
22,legitimate_growth,legitimate_growth,WAIT,0.25,0.125,0.375,0.25
23,legitimate_growth,legitimate_growth,GET_MORE_EVIDENCE,0.2,0.1,0.35,0.35
24,legitimate_growth,legitimate_growth,WAIT,0.15000000000000002,0.32499999999999996,0.325,0.2
25,legitimate_growth,legitimate_growth,WAIT,0.25,0.125,0.375,0.25
26,legitimate_growth,legitimate_growth,GET_MORE_EVIDENCE,0.2,0.1,0.35,0.35
27,legitimate_growth,legitimate_growth,WAIT,0.25,0.125,0.375,0.25
28,legitimate_growth,legitimate_growth,WAIT,0.15000000000000002,0.32499999999999996,0.325,0.2
29,legitimate_growth,legitimate_growth,GET_MORE_EVIDENCE,0.2,0.1,0.35,0.35
30,legitimate_growth,legitimate_growth,WAIT,0.25,0.125,0.375,0.25
31,cost_incident,cost_incident,GET_MORE_EVIDENCE,0.2,0.1,0.225,0.475
32,cost_incident,cost_incident,GET_MORE_EVIDENCE,0.2,0.1,0.225,0.475
33,cost_incident,cost_incident,GET_MORE_EVIDENCE,0.25,0.125,0.25,0.375
34,cost_incident,cost_incident,GET_MORE_EVIDENCE,0.15000000000000002,0.32499999999999996,0.2,0.325
35,cost_incident,cost_incident,GET_MORE_EVIDENCE,0.2,0.1,0.225,0.475
36,cost_incident,cost_incident,GET_MORE_EVIDENCE,0.25,0.125,0.25,0.375
37,cost_incident,cost_incident,GET_MORE_EVIDENCE,0.10000000000000002,0.29999999999999993,0.17500000000000002,0.42500000000000004
38,cost_incident,cost_incident,GET_MORE_EVIDENCE,0.25,0.125,0.25,0.375
39,cost_incident,cost_incident,GET_MORE_EVIDENCE,0.2,0.1,0.225,0.475
40,cost_incident,cost_incident,GET_MORE_EVIDENCE,0.25,0.125,0.25,0.375
